Instancia,Equipo1,Resultado,Equipo2,IDTorneo,Cancha,Horario
Final,Equipo GG,15 - 14,Club GG,6,Cancha 2,02:00 PM
Cuartos,Equipo HH,16 - 17,Club HH,6,Cancha 3,04:00 PM
Semifinal,Equipo II,18 - 19,Club II,6,Cancha 1,06:00 PM
Final,Equipo JJ,19 - 20,Club JJ,6,Cancha 2,08:00 PM
Cuartos,Equipo KK,13 - 14,Club KK,7,Cancha 3,10:00 AM
Semifinal,Equipo LL,15 - 16,Club LL,7,Cancha 1,12:00 PM
Final,Equipo MM,17 - 18,Club MM,7,Cancha 2,02:00 PM
Cuartos,Equipo NN,19 - 20,Club NN,7,Cancha 3,04:00 PM
Semifinal,Equipo OO,20 - 21,Club OO,7,Cancha 1,06:00 PM
Final,Equipo PP,21 - 22,Club PP,7,Cancha 2,08:00 PM
Cuartos,Equipo QQ,14 - 13,Club QQ,8,Cancha 3,10:00 AM
Semifinal,Equipo RR,15 - 14,Club RR,8,Cancha 1,12:00 PM
Final,Equipo SS,16 - 15,Club SS,8,Cancha 2,02:00 PM
Cuartos,Equipo TT,17 - 16,Club TT,8,Cancha 3,04:00 PM
Semifinal,Equipo UU,18 - 19,Club UU,8,Cancha 1,06:00 PM
Final,Equipo VV,20 - 21,Club VV,8,Cancha 2,08:00 PM
Cuartos,Equipo WW,12 - 13,Club WW,9,Cancha 3,10:00 AM
Semifinal,Equipo XX,14 - 15,Club XX,9,Cancha 1,12:00 PM
Final,Equipo YY,16 - 17,Club YY,9,Cancha 2,02:00 PM
Cuartos,Equipo ZZ,18 - 19,Club ZZ,9,Cancha 3,04:00 PM
Semifinal,Equipo AAA,20 - 21,Club AAA,9,Cancha 1,06:00 PM
Final,Equipo BBB,22 - 21,Club BBB,9,Cancha 2,08:00 PM
Cuartos,Equipo CCC,11 - 12,Club CCC,10,Cancha 3,10:00 AM
Semifinal,Equipo DDD,13 - 14,Club DDD,10,Cancha 1,12:00 PM
Final,Equipo EEE,15 - 16,Club EEE,10,Cancha 2,02:00 PM
Cuartos,Equipo FFF,17 - 18,Club FFF,10,Cancha 3,04:00 PM
Semifinal,Equipo GGG,19 - 20,Club GGG,10,Cancha 1,06:00 PM
Final,Equipo HHH,21 - 22,Club HHH,10,Cancha 2,08:00 PM
Cuartos,Equipo III,13 - 14,Club III,11,Cancha 3,10:00 AM
Semifinal,Equipo JJJ,15 - 16,Club JJJ,11,Cancha 1,12:00 PM
Cuartos,Equipo KKK,17 - 18,Club KKK,11,Cancha 2,02:00 PM
Semifinal,Equipo LLL,19 - 20,Club LLL,11,Cancha 3,04:00 PM
Final,Equipo MMM,21 - 22,Club MMM,11,Cancha 1,06:00 PM
Cuartos,Equipo NNN,12 - 13,Club NNN,12,Cancha 2,08:00 PM
Semifinal,Equipo OOO,14 - 15,Club OOO,12,Cancha 3,10:00 AM
Final,Equipo PPP,16 - 17,Club PPP,12,Cancha 1,12:00 PM
Cuartos,Equipo QQQ,18 - 19,Club QQQ,12,Cancha 2,02:00 PM
Semifinal,Equipo RRR,20 - 21,Club RRR,12,Cancha 3,04:00 PM
Final,Equipo SSS,22 - 23,Club SSS,12,Cancha 1,06:00 PM
Cuartos,Equipo TTT,13 - 14,Club TTT,13,Cancha 2,08:00 PM
Semifinal,Equipo UUU,15 - 16,Club UUU,13,Cancha 3,10:00 AM
Final,Equipo VVV,17 - 18,Club VVV,13,Cancha 1,12:00 PM
Cuartos,Equipo WWW,19 - 20,Club WWW,13,Cancha 2,02:00 PM
Semifinal,Equipo XXX,21 - 22,Club XXX,13,Cancha 3,04:00 PM
Final,Equipo YYY,23 - 24,Club YYY,13,Cancha 1,06:00 PM
Cuartos,Equipo ZZZ,14 - 15,Club ZZZ,14,Cancha 2,08:00 PM
Semifinal,Equipo AAAA,16 - 17,Club AAAA,14,Cancha 3,10:00 AM
Final,Equipo BBBB,18 - 19,Club BBBB,14,Cancha 1,12:00 PM
Cuartos,Equipo CCCC,20 - 21,Club CCCC,14,Cancha 2,02:00 PM
Semifinal,Equipo DDDD,22 - 23,Club DDDD,14,Cancha 3,04:00 PM
Final,Equipo EEEE,24 - 25,Club EEEE,14,Cancha 1,06:00 PM
Cuartos,Equipo FFFF,15 - 16,Club FFFF,15,Cancha 2,08:00 PM
Semifinal,Equipo GGGG,17 - 18,Club GGGG,15,Cancha 3,10:00 AM
Final,Equipo HHHH,19 - 20,Club HHHH,15,Cancha 1,12:00 PM
Cuartos,Equipo IIII,21 - 22,Club IIII,15,Cancha 2,02:00 PM
Semifinal,Equipo JJJJ,23 - 24,Club JJJJ,15,Cancha 3,04:00 PM
Final,Equipo KKKK,25 - 26,Club KKKK,15,Cancha 1,06:00 PM
